"filename", "language", "JavaScript", "Vue", "Markdown", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\group\all1.vue", "Vue", 0, 136, 0, 0, 0, 0, 59, 6, 201
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\group\month1.vue", "Vue", 0, 138, 0, 0, 0, 0, 61, 10, 209
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\group\season1.vue", "Vue", 0, 142, 0, 0, 0, 0, 60, 10, 212
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\group\year1.vue", "Vue", 0, 136, 0, 0, 0, 0, 61, 12, 209
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\system\systemPast1.vue", "Vue", 0, 85, 0, 0, 0, 0, 2, 5, 92
"c:\Users\lhk960705\scoreIndex\src\components\overall\oldcodes\top\top1.vue", "Vue", 0, 52, 0, 0, 0, 0, 1, 3, 56
"c:\Users\lhk960705\scoreIndex\src\components\overall\overall.vue", "Vue", 0, 213, 0, 0, 0, 0, 19, 8, 240
"c:\Users\lhk960705\scoreIndex\src\components\overall\overallHead\totalRt.vue", "Vue", 0, 68, 0, 0, 0, 0, 6, 7, 81
"c:\Users\lhk960705\scoreIndex\src\components\overall\overallHead\totalTest.vue", "Vue", 0, 68, 0, 0, 0, 0, 6, 7, 81
"c:\Users\lhk960705\scoreIndex\src\components\overall\systems\systemPast.vue", "Vue", 0, 168, 0, 0, 0, 0, 21, 10, 199
"c:\Users\lhk960705\scoreIndex\src\components\overall\top\topRtGroup.vue", "Vue", 0, 60, 0, 0, 0, 0, 4, 7, 71
"c:\Users\lhk960705\scoreIndex\src\components\overall\top\topRtSys.vue", "Vue", 0, 57, 0, 0, 0, 0, 3, 5, 65
"c:\Users\lhk960705\scoreIndex\src\components\overall\top\topTestGroup.vue", "Vue", 0, 57, 0, 0, 0, 0, 3, 5, 65
"c:\Users\lhk960705\scoreIndex\src\components\overall\top\topTestSys.vue", "Vue", 0, 57, 0, 0, 0, 0, 3, 5, 65
"c:\Users\lhk960705\scoreIndex\src\components\report\common\leftnav.vue", "Vue", 0, 61, 0, 0, 0, 0, 8, 5, 74
"c:\Users\lhk960705\scoreIndex\src\components\report\common\search.vue", "Vue", 0, 110, 0, 0, 0, 0, 40, 3, 153
"c:\Users\lhk960705\scoreIndex\src\components\report\report.vue", "Vue", 0, 42, 0, 0, 0, 0, 6, 3, 51
"c:\Users\lhk960705\scoreIndex\src\components\report\reports\monthReport.vue", "Vue", 0, 71, 0, 0, 0, 0, 0, 6, 77
"c:\Users\lhk960705\scoreIndex\src\components\report\reports\roundReport.vue", "Vue", 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\lhk960705\scoreIndex\src\components\report\reports\spReport.vue", "Vue", 0, 18, 0, 0, 0, 0, 2, 3, 23
"c:\Users\lhk960705\scoreIndex\src\components\report\reports\testReport.vue", "Vue", 0, 19, 0, 0, 0, 0, 1, 3, 23
"c:\Users\lhk960705\scoreIndex\src\components\score\doc.vue", "Vue", 0, 671, 0, 0, 0, 0, 15, 8, 694
"c:\Users\lhk960705\scoreIndex\src\components\score\random_test.vue", "Vue", 0, 229, 0, 0, 0, 0, 15, 9, 253
"c:\Users\lhk960705\scoreIndex\src\components\score\scoreIndex.css", "CSS", 0, 0, 0, 0, 0, 443, 25, 30, 498
"c:\Users\lhk960705\scoreIndex\src\components\score\scoreIndex.vue", "Vue", 0, 832, 0, 0, 0, 0, 85, 18, 935
"c:\Users\lhk960705\scoreIndex\src\components\score\test.vue", "Vue", 0, 583, 0, 0, 0, 0, 14, 5, 602
"c:\Users\lhk960705\scoreIndex\src\components\score\vision_head.vue", "Vue", 0, 243, 0, 0, 0, 0, 0, 3, 246
"c:\Users\lhk960705\scoreIndex\src\components\show\finished\finish.vue", "Vue", 0, 296, 0, 0, 0, 0, 6, 5, 307
"c:\Users\lhk960705\scoreIndex\src\components\show\finished\warn.vue", "Vue", 0, 170, 0, 0, 0, 0, 5, 7, 182
"c:\Users\lhk960705\scoreIndex\src\components\show\ing.vue", "Vue", 0, 184, 0, 0, 0, 0, 7, 10, 201
"c:\Users\lhk960705\scoreIndex\src\components\show\lastPeriod.vue", "Vue", 0, 522, 0, 0, 0, 0, 67, 8, 597
"c:\Users\lhk960705\scoreIndex\src\components\show\showCommon\left-nav.vue", "Vue", 0, 114, 0, 0, 0, 0, 10, 4, 128
"c:\Users\lhk960705\scoreIndex\src\components\show\showCommon\serach.vue", "Vue", 0, 106, 0, 0, 0, 0, 5, 6, 117
"c:\Users\lhk960705\scoreIndex\src\components\show\showin.vue", "Vue", 0, 42, 0, 0, 0, 0, 6, 3, 51
"c:\Users\lhk960705\scoreIndex\src\components\show\systemTable.vue", "Vue", 0, 167, 0, 0, 0, 0, 3, 9, 179
"c:\Users\lhk960705\scoreIndex\src\components\show\task\myTask.vue", "Vue", 0, 90, 0, 0, 0, 0, 6, 5, 101
"c:\Users\lhk960705\scoreIndex\src\components\show\task\newTask.vue", "Vue", 0, 252, 0, 0, 0, 0, 2, 6, 260
"c:\Users\lhk960705\scoreIndex\src\excel\Blob.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
